year,continent,scenario,tas_c
1980,Africa,historical,23.44067872015671
1981,Africa,historical,23.67987090553879
1982,Africa,historical,23.43696642460725
1983,Africa,historical,23.585477947190213
1984,Africa,historical,23.65487014938924
1985,Africa,historical,23.81870295966695
1986,Africa,historical,23.774894050720775
1987,Africa,historical,23.750275575536648
1988,Africa,historical,23.663570518298513
1989,Africa,historical,23.62942665793213
1990,Africa,historical,23.878747454108236
1991,Africa,historical,23.38794938486018
1992,Africa,historical,23.56643751441038
1993,Africa,historical,24.082172914414286
1994,Africa,historical,24.466011342036666
1995,Africa,historical,23.621949859907886
1996,Africa,historical,23.964584446105334
1997,Africa,historical,24.028890456609133
1998,Africa,historical,23.749676772303303
1999,Africa,historical,23.871785806202638
2000,Africa,historical,23.807766092611757
2001,Africa,historical,24.065781370350237
2002,Africa,historical,24.38440255304431
2003,Africa,historical,24.317769679077742
2004,Africa,historical,24.221560547055333
2005,Africa,historical,24.431085083653613
2006,Africa,historical,24.59160111697281
2007,Africa,historical,24.474795825464298
2008,Africa,historical,24.36985574280783
2009,Africa,historical,24.16677523340661
2010,Africa,historical,24.509094565508633
2011,Africa,historical,24.742389501549383
2012,Africa,historical,24.118863498947405
2013,Africa,historical,24.200781363700003
2014,Africa,historical,24.396174487632436
2015,Africa,ssp585,24.630672012061325
2016,Africa,ssp585,24.02510341902547
2017,Africa,ssp585,23.87154171426772
2018,Africa,ssp585,24.478466823569363
2019,Africa,ssp585,24.93228082702626
2020,Africa,ssp585,24.496848043980265
2021,Africa,ssp585,24.596916063131573
2022,Africa,ssp585,24.67590148292942
2023,Africa,ssp585,25.176376289030827
2024,Africa,ssp585,24.569880304264643
2025,Africa,ssp585,24.584279776511778
2026,Africa,ssp585,24.634563798379077
2027,Africa,ssp585,25.021630714377807
2028,Africa,ssp585,25.372247260721565
2029,Africa,ssp585,25.13708352683102
2030,Africa,ssp585,25.212446686008093
2031,Africa,ssp585,25.124201875412837
2032,Africa,ssp585,25.352134592072673
2033,Africa,ssp585,25.39847522956842
2034,Africa,ssp585,25.18826436058214
2035,Africa,ssp585,25.71790009872933
2036,Africa,ssp585,25.435321744169016
2037,Africa,ssp585,25.39851365940939
2038,Africa,ssp585,25.32334033879232
2039,Africa,ssp585,25.482858277035007
2040,Africa,ssp585,25.658439353511085
2041,Africa,ssp585,25.6560696896496
2042,Africa,ssp585,25.726107506704807
2043,Africa,ssp585,26.24099268592545
2044,Africa,ssp585,25.52563307953875
2045,Africa,ssp585,25.3775668998544
2046,Africa,ssp585,25.937419048436197
2047,Africa,ssp585,26.206556536449455
2048,Africa,ssp585,26.155501808562633
2049,Africa,ssp585,26.394843768649935
2050,Africa,ssp585,26.516447209430908
2051,Africa,ssp585,26.3418170567557
2052,Africa,ssp585,26.31084322661667
2053,Africa,ssp585,26.388954055311046
2054,Africa,ssp585,26.309458609042736
2055,Africa,ssp585,26.510571036752594
2056,Africa,ssp585,26.447644163017003
2057,Africa,ssp585,26.555128099405067
2058,Africa,ssp585,26.96298431892035
2059,Africa,ssp585,26.866345546050468
2060,Africa,ssp585,27.052782268231
1980,Asia,historical,16.781924933616096
1981,Asia,historical,16.75439609668075
1982,Asia,historical,17.19896286206682
1983,Asia,historical,16.896641603165904
1984,Asia,historical,17.104410750408363
1985,Asia,historical,16.86875143377489
1986,Asia,historical,16.91745039151641
1987,Asia,historical,17.304805817072747
1988,Asia,historical,17.108733027270716
1989,Asia,historical,17.21867117968344
1990,Asia,historical,17.415714226933574
1991,Asia,historical,17.18775246477861
1992,Asia,historical,16.80953394025039
1993,Asia,historical,17.117851503656198
1994,Asia,historical,17.577024010011826
1995,Asia,historical,17.244086475922018
1996,Asia,historical,17.10576389593092
1997,Asia,historical,17.312480464551072
1998,Asia,historical,17.517692108221183
1999,Asia,historical,17.441915363906332
2000,Asia,historical,17.540058106859362
2001,Asia,historical,17.57939716428325
2002,Asia,historical,17.693335212546913
2003,Asia,historical,17.81352931754236
2004,Asia,historical,17.97321146826556
2005,Asia,historical,17.892935634819537
2006,Asia,historical,17.911177802465204
2007,Asia,historical,18.172942867405823
2008,Asia,historical,18.23845407659263
2009,Asia,historical,18.0418546667305
2010,Asia,historical,17.92745033350144
2011,Asia,historical,17.958741354881397
2012,Asia,historical,18.08970135799666
2013,Asia,historical,17.7036800035778
2014,Asia,historical,18.044946826930982
2015,Asia,ssp585,18.31836370116497
2016,Asia,ssp585,18.069508909868034
2017,Asia,ssp585,17.976009031312685
2018,Asia,ssp585,17.964737260259312
2019,Asia,ssp585,18.084412016938245
2020,Asia,ssp585,18.31403204246959
2021,Asia,ssp585,18.25959306994622
2022,Asia,ssp585,18.189536510371966
2023,Asia,ssp585,18.308406077695565
2024,Asia,ssp585,18.55406591683851
2025,Asia,ssp585,18.109445551825672
2026,Asia,ssp585,18.405189933066367
2027,Asia,ssp585,18.714961608197086
2028,Asia,ssp585,18.78915882336173
2029,Asia,ssp585,18.915135151617164
2030,Asia,ssp585,18.670155916451108
2031,Asia,ssp585,18.422118995135577
