year,tas_anomaly,region,scenario,pr_anomaly
1980,0.0,africa,historical,0.0
1981,0.07245882928315694,africa,historical,-0.06333423475340116
1982,-0.14699927574228866,africa,historical,-0.050718903421002715
1983,-0.3209714034121802,africa,historical,0.028835013245767982
1984,-0.1578268447857738,africa,historical,-0.06629900006245126
1985,-0.12868685389326373,africa,historical,0.046684738589631625
1986,-0.048666546385856435,africa,historical,-0.05714182343889851
1987,-0.023977094276084188,africa,historical,0.017664878372922743
1988,-0.12648536252669373,africa,historical,-0.02004130786127467
1989,0.06938793673642252,africa,historical,-0.003460360887750591
1990,0.09748160973263253,africa,historical,-0.02525847651461044
1991,-0.011372862415214513,africa,historical,-0.06881038035536458
1992,-0.31230591076035097,africa,historical,-0.0799389106779631
1993,-0.32428955931569803,africa,historical,0.06167202079119383
1994,-0.16326534477685684,africa,historical,0.018154685950506178
1995,0.10111198928728982,africa,historical,0.02002159557641603
1996,-0.0008616843867201851,africa,historical,0.07033258376069185
1997,0.12370535545279893,africa,historical,0.002658138195343218
1998,0.2953075386691104,africa,historical,0.0376884255254919
1999,0.0431549206812214,africa,historical,0.07624849400795419
2000,0.1732850070979488,africa,historical,0.04002945910469835
2001,0.42845756995099293,africa,historical,0.09580531223548783
2002,0.2854115297127322,africa,historical,0.02452025079853959
2003,0.3575407806821893,africa,historical,0.035061262416381744
2004,0.5324099368273281,africa,historical,-0.005456024659131753
2005,0.4813714969423799,africa,historical,-0.032348828426774334
2006,0.3603489375821951,africa,historical,0.023341512725948865
2007,0.5135587214874491,africa,historical,-0.021243851306148365
2008,0.5710997582684527,africa,historical,0.04614442379579531
2009,0.44090218167561446,africa,historical,0.06751990192683888
2010,0.5078883417753985,africa,historical,0.03468004540907432
2011,0.48765664305628675,africa,historical,0.007063745859608117
2012,0.7756345083738978,africa,historical,0.04013136480262047
2013,0.7117488654632957,africa,historical,0.06648132637872894
2014,0.7510814158855936,africa,historical,0.025736388837769963
2015,0.6640513125894145,africa,ssp585,0.06804325793267907
2016,0.8549092791072646,africa,ssp585,-0.01648946637295312
2017,0.883511033018582,africa,ssp585,0.02931036372940632
2018,0.8664894005868646,africa,ssp585,0.008001298240623456
2019,1.0007450812180885,africa,ssp585,0.020274706614441307
2020,0.9546496421287216,africa,ssp585,0.0793647458577984
2021,1.057088295684867,africa,ssp585,0.056621516431744734
2022,1.0313404024567703,africa,ssp585,0.12114501545399103
2023,1.0018835891367175,africa,ssp585,0.08295374090763619
2024,1.2580011257627355,africa,ssp585,0.08009497899236795
2025,1.0851590619476852,africa,ssp585,0.13344978849358413
2026,0.9818687754604554,africa,ssp585,0.08271488797318005
2027,1.3270988086012387,africa,ssp585,0.13229776374587465
2028,1.2119696224444176,africa,ssp585,0.08342719061592851
2029,1.2829315161484978,africa,ssp585,0.00759379335667143
2030,1.4493488372852852,africa,ssp585,0.0731203463791612
2031,1.516444236781524,africa,ssp585,0.05789346631558523
2032,1.3761249711584682,africa,ssp585,0.04154436295100217
2033,1.4457616475430974,africa,ssp585,0.11536037894914064
2034,1.442005434495833,africa,ssp585,0.03186466320029435
2035,1.5040908828582076,africa,ssp585,0.10600293765723223
2036,1.451038330555157,africa,ssp585,0.11005544022915204
2037,1.8303132733853928,africa,ssp585,0.11781561964850717
2038,1.6952197663485862,africa,ssp585,0.04713972236206265
2039,1.6830698509413224,africa,ssp585,0.037174672269973064
2040,1.7241548424241486,africa,ssp585,0.07906839963831169
2041,1.6353908491290525,africa,ssp585,0.07690492818985106
2042,1.8169767707796218,africa,ssp585,0.022262682900346942
2043,1.9938948294557015,africa,ssp585,0.12175513029028973
2044,2.112890513233353,africa,ssp585,0.031165878144211234
2045,1.8671269690745547,africa,ssp585,0.18752069855499642
2046,1.921430931258314,africa,ssp585,0.07820985806355418
2047,2.163999547772036,africa,ssp585,0.04335438817121995
2048,2.2030154858735997,africa,ssp585,0.13858242604731452
2049,2.4053887768608213,africa,ssp585,0.13450743622147443
2050,2.317352899133681,africa,ssp585,0.08346285738254977
2051,2.2458152181453386,africa,ssp585,0.14273292669565119
2052,2.23078305577652,africa,ssp585,0.1129411775910294
2053,2.473996907749015,africa,ssp585,0.11370704689504074
2054,2.651247984160566,africa,ssp585,0.0880733992771272
2055,2.416238755941322,africa,ssp585,0.13485226971499364
2056,2.4764925060410476,africa,ssp585,0.09799454008072517
2057,2.7197269598668328,africa,ssp585,0.11861757876859191
2058,2.9811952014428904,africa,ssp585,0.11586313131119153
2059,2.996342974312711,africa,ssp585,0.11135052569676795
2060,2.905883539010663,africa,ssp585,0.13874629601309807
2061,3.1030979052121417,africa,ssp585,0.12660053842082752
2062,2.953548463798647,africa,ssp585,0.20230899272506098
2063,2.9723632927478505,africa,ssp585,0.09324370698993989
2064,3.0793256676035057,africa,ssp585,0.09859670819520105
2065,3.1463118981124474,africa,ssp585,0.1187521814868957
2066,3.211216079246512,africa,ssp585,0.11929931623264145
2067,3.3657938905204254,africa,ssp585,0.16917221870741073
2068,3.273587086702207,africa,ssp585,0.12626880305079768
2069,3.4096957283088045,africa,ssp585,0.11699982201767001
2070,3.561538880674391,africa,ssp585,0.13384743133183608
2071,3.8204472588470715,africa,ssp585,0.1636959045880253
2072,3.6309712581694704,africa,ssp585,0.11919428628179962
2073,3.7756030332181183,africa,ssp585,0.05300071888400537
2074,3.73147305362291,africa,ssp585,0.07333335087913939
2075,3.704020739645646,africa,ssp585,0.14703602451523223
2076,3.9473087303452274,africa,ssp585,0.14918351684493003
2077,3.8479400353796365,africa,ssp585,0.2193557910503754
2078,3.905814265355694,africa,ssp585,0.10978138121226588
2079,4.079073545137,africa,ssp585,0.16110101477640204
2080,4.072939004500775,africa,ssp585,0.15479181402913356
2081,4.452922541945345,africa,ssp585,0.014344138181046517
2082,4.3247814125484645,africa,ssp585,0.10050435085823328
2083,4.3858170171395905,africa,ssp585,0.06891992229606148
2084,4.540577453573764,africa,ssp585,0.10678609177087517
2085,4.6355907008201775,africa,ssp585,0.1453889465817355
2086,4.695179906488377,africa,ssp585,0.07548463912526104
2087,4.5805414617952245,africa,ssp585,0.14105802651676824
2088,4.704135243560405,africa,ssp585,0.12609960055794311
2089,4.614599860199718,africa,ssp585,0.16769937842134142
2090,4.890270540201943,africa,ssp585,0.14357718872601244
2091,4.818634293347518,africa,ssp585,0.15768495223575685
2092,4.893910057209258,africa,ssp585,0.1090815196085646
2093,5.338126952301067,africa,ssp585,0.11368522783823054
2094,5.399917373605781,africa,ssp585,0.17281144358010292
2095,5.1876998177207625,africa,ssp585,0.18527101016085123
2096,5.235896220361958,africa,ssp585,0.19211859322393132
2097,5.341481564209051,africa,ssp585,0.1386463266563005
2098,5.627898334065453,africa,ssp585,0.17710503907932185
2099,5.333330663557735,africa,ssp585,0.2203898149941923
2100,6.2193318682780045,africa,ssp585,0.20761278134365857
1980,0.0,asia,historical,0.0
1981,-0.043294551566807726,asia,historical,0.003168626173521538
1982,-0.023327044925995466,asia,historical,0.015529383438812161
1983,-0.42012668890550486,asia,historical,-0.00430858506816989
