year,region,tas_anomaly,scenario
1980,arctic,0.0,historical
1981,arctic,0.062959194,historical
1982,arctic,0.029646873,historical
1983,arctic,-0.015366077,historical
1984,arctic,0.0064965487,historical
1985,arctic,-0.0076453686,historical
1986,arctic,0.06696665,historical
1987,arctic,0.009242058,historical
1988,arctic,-0.017902374,historical
1989,arctic,0.020665407,historical
1990,arctic,0.008737326,historical
1991,arctic,0.015711546,historical
1992,arctic,0.0008980036,historical
1993,arctic,0.005220413,historical
1994,arctic,0.028435469,historical
1995,arctic,0.058975935,historical
1996,arctic,0.08523142,historical
1997,arctic,0.093487024,historical
1998,arctic,0.02521491,historical
1999,arctic,0.02681899,historical
2000,arctic,0.10942423,historical
2001,arctic,0.07454538,historical
2002,arctic,0.054085374,historical
2003,arctic,0.038823605,historical
2004,arctic,0.069772005,historical
2005,arctic,0.073432565,historical
2006,arctic,0.02602148,historical
2007,arctic,0.031140327,historical
2008,arctic,0.09474206,historical
2009,arctic,0.07571435,historical
2010,arctic,0.04020405,historical
2011,arctic,0.08921862,historical
2012,arctic,0.1266048,historical
2013,arctic,0.10663295,historical
2014,arctic,0.09578824,historical
2015,arctic,0.11841941,ssp585
2016,arctic,0.09304297,ssp585
2017,arctic,0.08865571,ssp585
2018,arctic,0.25466013,ssp585
2019,arctic,0.16450405,ssp585
2020,arctic,0.1785202,ssp585
2021,arctic,0.21489191,ssp585
2022,arctic,0.23169518,ssp585
2023,arctic,0.21736932,ssp585
2024,arctic,0.2709911,ssp585
2025,arctic,0.28104544,ssp585
2026,arctic,0.2601912,ssp585
2027,arctic,0.3288257,ssp585
2028,arctic,0.31102133,ssp585
2029,arctic,0.37290442,ssp585
2030,arctic,0.26639533,ssp585
2031,arctic,0.26998234,ssp585
2032,arctic,0.2672422,ssp585
2033,arctic,0.23361039,ssp585
2034,arctic,0.38250732,ssp585
2035,arctic,0.4818468,ssp585
2036,arctic,0.39224637,ssp585
2037,arctic,0.55884504,ssp585
2038,arctic,0.45092392,ssp585
2039,arctic,0.38980758,ssp585
2040,arctic,0.40641975,ssp585
2041,arctic,0.5071715,ssp585
2042,arctic,0.62040734,ssp585
2043,arctic,0.5416088,ssp585
2044,arctic,0.56705236,ssp585
2045,arctic,0.7339124,ssp585
2046,arctic,0.45598662,ssp585
2047,arctic,0.541013,ssp585
2048,arctic,0.6268008,ssp585
2049,arctic,0.5439017,ssp585
2050,arctic,1.0058446,ssp585
2051,arctic,0.7830679,ssp585
2052,arctic,0.79035205,ssp585
2053,arctic,0.6395259,ssp585
2054,arctic,0.85876554,ssp585
2055,arctic,0.9521755,ssp585
2056,arctic,1.209348,ssp585
2057,arctic,1.1180661,ssp585
2058,arctic,1.24745,ssp585
2059,arctic,1.2023956,ssp585
2060,arctic,0.959686,ssp585
2061,arctic,1.046999,ssp585
2062,arctic,1.0850196,ssp585
2063,arctic,1.2149992,ssp585
2064,arctic,1.1238135,ssp585
2065,arctic,0.7904909,ssp585
2066,arctic,1.1128368,ssp585
2067,arctic,1.1323599,ssp585
2068,arctic,1.1683035,ssp585
2069,arctic,1.1756436,ssp585
2070,arctic,1.2327311,ssp585
2071,arctic,1.6435,ssp585
2072,arctic,1.872666,ssp585
2073,arctic,1.4455599,ssp585
2074,arctic,1.353393,ssp585
2075,arctic,1.5724721,ssp585
2076,arctic,1.9017303,ssp585
2077,arctic,1.296411,ssp585
2078,arctic,1.6572804,ssp585
2079,arctic,1.6241639,ssp585
2080,arctic,1.5790365,ssp585
2081,arctic,1.7941761,ssp585
2082,arctic,1.6585889,ssp585
2083,arctic,1.4173502,ssp585
2084,arctic,1.8158337,ssp585
2085,arctic,2.045545,ssp585
2086,arctic,2.1702373,ssp585
2087,arctic,2.3671236,ssp585
2088,arctic,2.249671,ssp585
2089,arctic,2.5253904,ssp585
2090,arctic,2.5431178,ssp585
2091,arctic,2.6521926,ssp585
2092,arctic,2.6828523,ssp585
2093,arctic,2.5372527,ssp585
2094,arctic,2.694438,ssp585
2095,arctic,3.0823874,ssp585
2096,arctic,2.780367,ssp585
2097,arctic,2.8383324,ssp585
2098,arctic,3.651532,ssp585
2099,arctic,3.411077,ssp585
2100,arctic,3.9620137,ssp585
1980,atlantic_north,0.0,historical
1981,atlantic_north,-0.45996094,historical
1982,atlantic_north,-0.41220665,historical
